时间 - Uca,Voltage [V] - Uca
27:43.6,0.0618345
27:43.6,0.0631199
27:43.6,0.0627985
27:43.6,0.0650479
27:43.6,0.0644052
27:43.6,0.0653692
27:43.6,0.0637626
27:43.6,0.0647266
27:43.6,0.0634412
27:43.6,0.0644052
27:43.6,0.0621559
27:43.6,0.0631199
27:43.6,0.0611919
27:43.6,0.0611919
27:43.6,0.0595852
27:43.6,0.0602278
27:43.6,0.0586212
27:43.6,0.0599065
27:43.6,0.0582998
27:43.6,0.0595852
27:43.6,0.0586212
27:43.6,0.0599065
27:43.6,0.0582998
27:43.6,0.0589425
27:43.6,0.0576571
27:43.6,0.0579785
27:43.6,0.0573358
27:43.6,0.0576571
27:43.6,0.0557291
27:43.6,0.0579785
27:43.6,0.0563718
27:43.6,0.0570145
27:43.6,0.0557291
27:43.6,0.0566931
27:43.6,0.0550864
27:43.6,0.0566931
27:43.6,0.0554078
27:43.6,0.0566931
27:43.6,0.0560504
27:43.6,0.0579785
27:43.6,0.0566931
27:43.6,0.0582998
27:43.6,0.0570145
27:43.6,0.0592638
27:43.6,0.0595852
27:43.6,0.0618345
27:43.6,0.0605492
27:43.6,0.0618345
27:43.6,0.0602278
27:43.6,0.0611919
27:43.6,0.0592638
27:43.6,0.0605492
27:43.6,0.0592638
27:43.6,0.0608705
27:43.6,0.0592638
27:43.6,0.0605492
27:43.6,0.0599065
27:43.6,0.0605492
27:43.6,0.0599065
27:43.6,0.0631199
27:43.6,0.0621559
27:43.6,0.0637626
27:43.6,0.0631199
27:43.6,0.0653692
27:43.6,0.0647266
27:43.6,0.0656906
27:43.6,0.0644052
27:43.6,0.0660119
27:43.6,0.0647266
27:43.6,0.0653692
27:43.6,0.0640839
27:43.6,0.0653692
27:43.6,0.0640839
27:43.6,0.0656906
27:43.6,0.0640839
27:43.6,0.0656906
27:43.6,0.0647266
27:43.6,0.0676186
27:43.6,0.0676186
27:43.6,0.0701893
27:43.6,0.0695466
27:43.6,0.0705106
27:43.6,0.069868
27:43.6,0.070832
27:43.6,0.0695466
27:43.6,0.0705106
27:43.6,0.0692253
27:43.6,0.071796
27:43.6,0.069868
27:43.6,0.0711533
27:43.6,0.069868
27:43.6,0.0714747
27:43.6,0.069868
27:43.6,0.0711533
27:43.6,0.069868
27:43.6,0.0711533
27:43.6,0.0695466
27:43.6,0.0705106
27:43.6,0.0679399
27:43.6,0.0692253
27:43.6,0.0679399
27:43.6,0.0685826
27:43.6,0.0666546
27:43.6,0.0676186
27:43.6,0.0653692
27:43.6,0.0676186
27:43.6,0.0656906
27:43.6,0.0669759
27:43.6,0.0656906
27:43.6,0.0663333
27:43.6,0.0644052
27:43.6,0.0653692
27:43.6,0.0640839
27:43.6,0.0650479
27:43.6,0.0634412
27:43.6,0.0644052
27:43.6,0.0631199
27:43.6,0.0634412
27:43.6,0.0608705
27:43.6,0.0624772
27:43.6,0.0602278
27:43.6,0.0624772
27:43.6,0.0608705
27:43.6,0.0624772
27:43.6,0.0608705
27:43.6,0.0621559
27:43.6,0.0602278
27:43.6,0.0605492
27:43.6,0.0579785
27:43.6,0.0599065
27:43.6,0.0576571
27:43.6,0.0582998
27:43.6,0.0570145
27:43.6,0.0582998
27:43.6,0.0560504
27:43.6,0.0582998
27:43.6,0.0563718
27:43.6,0.0579785
27:43.6,0.0566931
27:43.6,0.0582998
27:43.6,0.0560504
27:43.6,0.0570145
27:43.6,0.0544438
27:43.6,0.0554078
27:43.6,0.0538011
27:43.6,0.0554078
27:43.6,0.0534797
27:43.6,0.0554078
27:43.6,0.0531584
27:43.6,0.0566931
27:43.6,0.0550864
27:43.6,0.0576571
27:43.6,0.0563718
27:43.6,0.0566931
27:43.6,0.0550864
27:43.6,0.0570145
27:43.6,0.0550864
27:43.6,0.0566931
27:43.6,0.0554078
27:43.6,0.0573358
27:43.6,0.0554078
27:43.6,0.0566931
27:43.6,0.0550864
27:43.6,0.0566931
27:43.6,0.0554078
27:43.6,0.0579785
27:43.6,0.0554078
27:43.6,0.0582998
27:43.6,0.0582998
27:43.6,0.0611919
27:43.6,0.0605492
27:43.6,0.0621559
27:43.6,0.0599065
27:43.6,0.0615132
27:43.6,0.0595852
27:43.6,0.0618345
27:43.6,0.0595852
27:43.6,0.0615132
27:43.6,0.0602278
27:43.6,0.0621559
27:43.6,0.0599065
27:43.6,0.0624772
27:43.6,0.0615132
27:43.6,0.0637626
27:43.6,0.0618345
27:43.6,0.0631199
27:43.6,0.0615132
27:43.6,0.0634412
27:43.6,0.0624772
27:43.6,0.0627985
27:43.6,0.0618345
27:43.6,0.0640839
27:43.6,0.0631199
27:43.6,0.0644052
27:43.6,0.0631199
27:43.6,0.0663333
27:43.6,0.0650479
27:43.6,0.0672973
27:43.6,0.0647266
27:43.6,0.0669759
27:43.6,0.0650479
27:43.6,0.0663333
27:43.6,0.0647266
27:43.6,0.0666546
27:43.6,0.0650479
27:43.6,0.0669759
27:43.6,0.0650479
27:43.6,0.0682613
27:43.6,0.0669759
27:43.6,0.069868
27:43.6,0.0676186
27:43.6,0.0695466
27:43.6,0.0679399
27:43.6,0.0692253
27:43.6,0.0672973
27:43.6,0.0692253
27:43.6,0.0676186
27:43.6,0.068904
27:43.6,0.0672973
27:43.6,0.0692253
27:43.6,0.0676186
27:43.6,0.0695466
27:43.6,0.0682613
27:43.6,0.0711533
27:43.6,0.0705106
27:43.6,0.0721173
27:43.6,0.069868
27:43.6,0.0724387
27:43.6,0.069868
27:43.6,0.0714747
27:43.6,0.0692253
27:43.6,0.0701893
27:43.6,0.0669759
27:43.6,0.0672973
27:43.6,0.0647266
27:43.6,0.0656906
27:43.6,0.0634412
27:43.6,0.0653692
27:43.6,0.0634412
27:43.6,0.0663333
27:43.6,0.0637626
27:43.6,0.0656906
27:43.6,0.0637626
27:43.6,0.0653692
27:43.6,0.0627985
27:43.6,0.0637626
27:43.6,0.0618345
27:43.6,0.0634412
27:43.6,0.0615132
27:43.6,0.0621559
27:43.6,0.0599065
27:43.6,0.0624772
27:43.6,0.0599065
27:43.6,0.0624772
27:43.6,0.0605492
27:43.6,0.0624772
27:43.6,0.0599065
27:43.6,0.0611919
27:43.6,0.0595852
27:43.6,0.0605492
27:43.6,0.0589425
27:43.6,0.0618345
27:43.6,0.0599065
27:43.6,0.0621559
27:43.6,0.0592638
27:43.6,0.0615132
27:43.6,0.0599065
27:43.6,0.0627985
27:43.6,0.0602278
27:43.6,0.0637626
27:43.6,0.0621559
27:43.6,0.0637626
27:43.6,0.0621559
27:43.6,0.0634412
27:43.6,0.0611919
27:43.6,0.0634412
27:43.6,0.0615132
27:43.6,0.0637626
27:43.6,0.0615132
27:43.6,0.0640839
27:43.6,0.0627985
27:43.6,0.0647266
27:43.6,0.0631199
27:43.6,0.0653692
27:43.6,0.0637626
